English,Original,Seq2Seq,Attention
kosrot,কসরত,কষৎরত,কসরত
koshovo,কসোভো,কশভ,কসোভো
kosobha,কসোভো,কোষভা,কসোভো
kosova,কসোভো,কসভা,কসোভো
kankan,কাঁকন,কঙ্কন,কাঁকন
kankon,কাঁকন,কঙ্কন,কাঁকন
kandane,কাঁদানে,কন্ডানে,কাঁদানে
kandaney,কাঁদানে,কন্দানে,কাঁদানে
kaakeena,কাকিনা,কাকেন,কাকিনা
kakeena,কাকিনা,ককিন,কাকিনা
katto,কাটতো,কাট্য,কাটতো
kander,কাণ্ডের,কান্ডের,কাণ্ডের
kantar,কান্তার,কাঁতার,কান্তার
kafera,কাফের,কাফেরা,কাফের
kaffir,কাফের,কফির,কাফের
kaphara,কাফের,কাফর,কাফের
kapheera,কাফের,কফিরা,কাফের
kaphera,কাফের,কফেরা,কাফের
kaphphir,কাফের,কফির,কাফের
qaphera,কাফের,কাফেরা,কাফের
kaaferraa,কাফেররা,কাফেরা,কাফেররা
kama,কামা,কম,কামা
kaaraamat,কারামত,কারামাত,কারামত
karammot,কারামত,করমমত,কারামত
carer,কারের,চারের,কারের
kaarlayil,কার্লাইল,কার্লয়েল,কার্লাইল
karlayil,কার্লাইল,কার্লেল,কার্লাইল
karlel,কার্লাইল,কার্লেল,কার্লাইল
qarlail,কার্লাইল,কার্লেল,কার্লাইল
qarlayil,কার্লাইল,কার্লিয়াল,কার্লাইল
kaashi,কাসি,কাশি,কাসি
kaasi,কাসি,কাশী,কাসি
kasee,কাসি,কাশী,কাসি
kasi,কাসি,কাশি,কাসি
keengdomer,কিংডমের,কিংদমের,কিংডমের
cue,কিউ,কি,কিউ
kinaaraa,কিনারা,কিনার,কিনারা
kinarar,কিনারার,কিনার,কিনারার
kiirtike,কীর্তিকে,কির্তিকে,কীর্তিকে
kunj,কুঁজ,কুঞ্জ,কুঁজ
caakri,কুকরী,কাক্রী,কুকরী
cookrii,কুকরী,চক্রী,কুকরী
kukari,কুকরী,কুকারি,কুকরী
kukri,কুকরী,কুকরি,কুকরী
kkundo,কুন্ড,কুণ্ড,কুন্ড
koondo,কুন্ড,কুণ্ড,কুন্ড
kundo,কুন্ড,কুণ্ড,কুন্ড
kunndo,কুন্ড,কুণ্দ,কুন্ড
kunnteer,কুন্তীর,কুন্টির,কুন্তীর
kumbher,কুম্ভের,কুম্ভার,কুম্ভের
cooli,কুলী,কুলি,কুলী
kulungi,কুলুঙ্গি,কুলুঙ্গী,কুলুঙ্গি
krishijato,কৃষিজাত,কৃষিজত,কৃষিজাত
koibarto,কৈবর্ত,কৈবার্ত,কৈবর্ত
kailase,কৈলাসে,কাইলাস,কৈলাসে
koilase,কৈলাসে,কৈলসে,কৈলাসে
quotar,কোটার,কুটার,কোটার
kodo,কোডও,কোডো,কোডও
konodin,কোনওদিন,কোনদিন,কোনওদিন
konoyodin,কোনওদিন,কনোদীন,কোনওদিন
konyodin,কোনওদিন,কন্যদিন,কোনওদিন
collageen,কোলাজেন,কলাগগীন,কোলাজেন
kolajena,কোলাজেন,কোলজেন,কোলাজেন
koolajena,কোলাজেন,কোলজেন,কোলাজেন
kaushalgotobhabe,কৌশলগতভাবে,কৌসাগলতভাবে,কৌশলগতভাবে
kousholgotovabe,কৌশলগতভাবে,কৌসগল্তভাবে,কৌশলগতভাবে
cetegory,ক্যাটাগরি,সেযাটেরি,ক্যাটাগরি
qyatagari,ক্যাটাগরি,ক্যাটারিগরী,ক্যাটাগরি
categoryte,ক্যাটাগরিতে,ক্যাটেগরিতে,ক্যাটাগরিতে
kyatagorite,ক্যাটাগরিতে,ক্যাটারগতে,ক্যাটাগরিতে
cathade,ক্যাথোড,কাঠাদে,ক্যাথোড
cethode,ক্যাথোড,চেঠদে,ক্যাথোড
candyer,ক্যান্ডির,ক্যান্ডার,ক্যান্ডির
kandyr,ক্যান্ডির,কন্ডির,ক্যান্ডির
capsuler,ক্যাপসুলের,কাপসুলের,ক্যাপসুলের
kromodhaaraa,ক্রমধারা,ক্রমধারার,ক্রমধারা
kramohrasoman,ক্রমহ্রাসমান,ক্রহমোরসমান,ক্রমহ্রাসমান
kromohrashomaan,ক্রমহ্রাসমান,ক্রহমরাসাা,ক্রমহ্রাসমান
kromohrashoman,ক্রমহ্রাসমান,ক্রোমোহসমান,ক্রমহ্রাসমান
cruise,ক্রিস,ক্রুইস,ক্রিস
krish,ক্রিস,কৃষ,ক্রিস
cruce,ক্রুশে,ক্রুস,ক্রুশে
crucey,ক্রুশে,ক্রুসে,ক্রুশে
clinton,ক্লিনটন,ক্লিন্ন,ক্লিনটন
khamotaadhar,ক্ষমতাধর,ক্ষমতাধার,ক্ষমতাধর
khomotasin,ক্ষমতাসীন,ক্ষমতাশীন,ক্ষমতাসীন
khachito,খচিত,খাচিত,খচিত
khochito,খচিত,খোচিত,খচিত
khashkhashe,খসখসে,খাষাখশে,খসখসে
khashkhashey,খসখসে,খাষাখসে,খসখসে
khaskhase,খসখসে,খাষ্খাসে,খসখসে
khaanek,খানেক,খানক,খানেক
khanek,খানেক,খানকে,খানেক
khalashi,খালাসী,খালাসি,খালাসী
khalider,খালিদের,খালীদের,খালিদের
khuda,খুদা,কুষুদা,খুদা
khunikey,খুনিকে,কুনিকে,খুনিকে
khueshid,খুরশিদ,ক্ষেশিদ,খুরশিদ
khuskhi,খুশকি,খুষুখী,খুশকি
khelaro,খেলারও,খেলার,খেলারও
gorgey,গগৈ,গর্জে,গগৈ
gonohotta,গণহত্যা,গণহত্য,গণহত্যা
gonohotya,গণহত্যা,গণহত্য,গণহত্যা
gatibeg,গতিবেগ,গ্যাবিবেগ,গতিবেগ
goteebeg,গতিবেগ,গতিবেদ,গতিবেগ
gathic,গথিক,গাঠিক,গথিক
gathik,গথিক,গাঠিক,গথিক
gathika,গথিক,গথিকা,গথিক
gotheek,গথিক,গঠিক,গথিক
gothic,গথিক,গঠিক,গথিক
gothik,গথিক,গঠিক,গথিক
ganer,গনের,গণের,গনের
goner,গনের,গণের,গনের
gandher,গন্ধের,গণ্ধের,গন্ধের
gondher,গন্ধের,গণ্ধের,গন্ধের
gafur,গফুর,গাফফুর,গফুর
gobhonor,গভর্ণর,গভননর,গভর্ণর
governor,গভর্ণর,গভর্নর,গভর্ণর
govornor,গভর্ণর,গভর্নর,গভর্ণর
goreebder,গরিবদের,গরীবদের,গরিবদের
gariber,গরিবের,গররীবের,গরিবের
goreeber,গরিবের,গরীবের,গরিবের
garg,গর্গ,গার্গ,গর্গ
galachipa,গলাচিপা,গোলাচিপ,গলাচিপা
golacheepa,গলাচিপা,গোলাচেপ,গলাচিপা
gaji,গাজি,গাজী,গাজি
gazi,গাজি,গাজী,গাজি
gajir,গাজির,গাজীর,গাজির
gazir,গাজির,গাজীর,গাজির
gaziporee,গাজীপুরে,গাজীপরী,গাজীপুরে
gajipurer,গাজীপুরের,গাজিপুরের,গাজীপুরের
gaziipure,গাজীপুরের,গাজীপুরে,গাজীপুরের
gandhi,গান্ধী,গন্ধি,গান্ধী
gaabhaskarer,গাভাস্কারের,গভাষককারের,গাভাস্কারের
gamcha,গামছা,গমম্চা,গামছা
gaardener,গার্ডেনের,গার্ডানের,গার্ডেনের
galilee,গালিলি,গাযালিলি,গালিলি
gini,গিনি,জিনি,গিনি
guine,গিনি,জুইন,গিনি
guinea,গিনি,গুইনে,গিনি
ginite,গিনিতে,গিনতি,গিনিতে
guineate,গিনিতে,গুইনেট,গিনিতে
guineete,গিনিতে,গুইনিতে,গিনিতে
guineetey,গিনিতে,গুণিতে,গিনিতে
ginir,গিনির,জিনির,গিনির
gunagun,গুণাগুণ,গুণগুণ,গুণাগুণ
gunaguno,গুণাগুণ,গুণাগু,গুণাগুণ
gudamghor,গুদামঘর,গুদমগ্র,গুদামঘর
grihoshtali,গৃহস্থালি,গৃহস্থলি,গৃহস্থালি
gein,গেন,গেইন,গেন
gomoty,গোমতি,গমতি,গোমতি
gasthigato,গোষ্ঠীগত,গস্তিগত,গোষ্ঠীগত
gosthigata,গোষ্ঠীগত,গষ্ঠিগত,গোষ্ঠীগত
gostheeder,গোষ্ঠীদের,গোস্ঠীদের,গোষ্ঠীদের
gowri,গৌরি,গৌরী,গৌরি
granthaguly,গ্রন্থগুলি,গ্রন্থাগুলি,গ্রন্থগুলি
granthoguli,গ্রন্থগুলি,গ্রন্থাগুলি,গ্রন্থগুলি
gronthoguly,গ্রন্থগুলি,গ্রন্থলীগু,গ্রন্থগুলি
granthagulir,গ্রন্থগুলির,গ্রন্থাগুলির,গ্রন্থগুলির
granthagulyr,গ্রন্থগুলির,গ্রন্থাগুলির,গ্রন্থগুলির
granthogulir,গ্রন্থগুলির,গ্রন্থাগুলির,গ্রন্থগুলির
gronthagulir,গ্রন্থগুলির,গ্রন্থাগুলির,গ্রন্থগুলির
granthagulo,গ্রন্থগুলো,গ্রন্থাগুলো,গ্রন্থগুলো
granthogulo,গ্রন্থগুলো,গ্রন্থাগুলো,গ্রন্থগুলো
gronthogulo,গ্রন্থগুলো,গ্রন্থলুগু,গ্রন্থগুলো
granthagulote,গ্রন্থগুলোতে,গ্রন্থাগুলোতে,গ্রন্থগুলোতে
gronthagulote,গ্রন্থগুলোতে,গ্রন্থাগুলোতে,গ্রন্থগুলোতে
granthagulor,গ্রন্থগুলোর,গ্রন্থাগুলোর,গ্রন্থগুলোর
granthogulor,গ্রন্থগুলোর,গ্রন্থাগুলোর,গ্রন্থগুলোর
gronthagulor,গ্রন্থগুলোর,গ্রন্থাগুলোর,গ্রন্থগুলোর
granthatyr,গ্রন্থটির,গ্রন্থাটির,গ্রন্থটির
gronthatir,গ্রন্থটির,গ্রন্থাটির,গ্রন্থটির
gronthosomuher,গ্রন্থসমূহের,গ্রন্তসমূহের,গ্রন্থসমূহের
zraduate,গ্রাজুয়েট,জ্রুদাতে,গ্রাজুয়েট
grambaasike,গ্রামবাসীকে,গ্রামবাসিকে,গ্রামবাসীকে
grambasira,গ্রামবাসীরা,গ্রামবাসিরা,গ্রামবাসীরা
gramin,গ্রামীন,গ্রামিং,গ্রামীন
gregory,গ্রেগরি,গ্রেগারি,গ্রেগরি
ghatlo,ঘটলো,ঘটটল,ঘটলো
ghoshety,ঘসেটি,ঘোষটি,ঘসেটি
gha,ঘা,ঘো,ঘা
ghaty,ঘাঁটি,ঘটি,ঘাঁটি
ghantigula,ঘাঁটিগুলো,ঘন্তিগুলো,ঘাঁটিগুলো
ghatigulo,ঘাঁটিগুলো,ঘটিগুলো,ঘাঁটিগুলো
ghateete,ঘাঁটিতে,ঘটিতে,ঘাঁটিতে
ghatite,ঘাঁটিতে,ঘটিতে,ঘাঁটিতে
ghat,ঘাট,ঘট,ঘাট
ghet,ঘাট,ঘেট,ঘাট
gheta,ঘাট,ঘটা,ঘাট
ghati,ঘাটি,ঘটি,ঘাটি
ghumate,ঘুমাতে,ঘুমততে,ঘুমাতে
ghurni,ঘূর্ণি,ঘুর্ণী,ঘূর্ণি
gheesha,ঘেষা,ঘীষা,ঘেষা
chotokder,চটকদার,চটকদের,চটকদার
chapala,চপলা,চাপালা,চপলা
chopala,চপলা,চোপাল,চপলা
chamak,চমক,চামাক,চমক
chamoskir,চমস্কির,চমমস্কির,চমস্কির
chayesa,চয়েস,চায়েশ,চয়েস
choicee,চয়েস,চোইস,চয়েস
chorbhadrason,চরভদ্রাসন,চর্ভাদ্রসন,চরভদ্রাসন
charit,চরিত,চারিত,চরিত
choritartho,চরিতার্থ,চরিতর্থ,চরিতার্থ
chalochchitroo,চলচ্চিত্রও,চাচচিত্রু,চলচ্চিত্রও
cholochchitrao,চলচ্চিত্রও,চলোচিত্র,চলচ্চিত্রও
chalachchitratite,চলচ্চিত্রটিতে,চলচ্চ্তাত্রীতে,চলচ্চিত্রটিতে
chalachchitrotir,চলচ্চিত্রটির,চলচাচ্ত্রিতির,চলচ্চিত্রটির
chalochchitrotir,চলচ্চিত্রটির,চলচিত্ত্রীর,চলচ্চিত্রটির
cholocchitrotir,চলচ্চিত্রটির,চলচিত্ত্রটির,চলচ্চিত্রটির
chalachchitre,চলচ্চিত্রে,চলচচত্রী,চলচ্চিত্রে
chaloman,চলমান,চালমান,চলমান
chaadar,চাদর,চাদার,চাদর
chabe,চাবি,চবে,চাবি
charukolar,চারুকলার,চারুকালার,চারুকলার
charge,চার্জ,চার্গে,চার্জ
charja,চার্জ,চার্য,চার্জ
charza,চার্জ,চার্জা,চার্জ
carrjing,চার্জিং,কার্জিং,চার্জিং
chalachchilo,চালাচ্ছিল,চলচছছ্ছল,চালাচ্ছিল
chalachheelo,চালাচ্ছিল,চলচছছল,চালাচ্ছিল
cheekitsa,চিকিত্সা,চিকিৎসা,চিকিত্সা
chickeen,চিকেন,চিকিন,চিকেন
chikeena,চিকেন,চিকিন,চিকেন
chikena,চিকেন,চিকেনা,চিকেন
cheettakarsak,চিত্তাকর্ষক,চিত্তাকর্ষ,চিত্তাকর্ষক
chittakarsak,চিত্তাকর্ষক,চিত্তার্ষক,চিত্তাকর্ষক
chittakorsok,চিত্তাকর্ষক,চিত্তরক্ষক,চিত্তাকর্ষক
cheetroroop,চিত্ররূপ,চিত্রোপ,চিত্ররূপ
chitroroop,চিত্ররূপ,চিত্রোপ,চিত্ররূপ
chirotar,চিরতার,চিরততার,চিরতার
chirotani,চিরন্তনী,চিরোটানি,চিরন্তনী
cheera,চিরা,ছিরা,চিরা
children,চিলড্রেনের,চিল্ড্রেন,চিলড্রেনের
chaiteer,চৈতির,চাইটির,চৈতির
chaityr,চৈতির,চাইটির,চৈতির
choitir,চৈতির,চইটির,চৈতির
chouka,চৌকো,চৌকা,চৌকো
choudhuri,চৌধুরী,চৌধুরি,চৌধুরী
chaudhoorisaha,চৌধুরীসহ,চৌধুরিষাহ,চৌধুরীসহ
chowshotti,চৌষট্টি,চৌষট্তি,চৌষট্টি
chyateeng,চ্যাটিং,চ্যাথিং,চ্যাটিং
chana,ছানা,চানা,ছানা
chanagulo,ছানাগুলো,চানাগুলো,ছানাগুলো
chanader,ছানাদের,চানাদের,ছানাদের
chanar,ছানার,চানার,ছানার
chanara,ছানারা,চানারা,ছানারা
chheelonaa,ছিলোনা,ছিলনা,ছিলোনা
chhatogalpo,ছোটগল্প,ছোটগালপপ্,ছোটগল্প
chhotogolpo,ছোটগল্প,ছোটোগল্প,ছোটগল্প
chhatta,ছোট্টো,ছাটা,ছোট্টো
jang,জং,জাং,জং
jong,জং,জোং,জং
jongli,জংলী,জঙ্গলী,জংলী
jagdish,জগদীশ,জগ্দিশ,জগদীশ
jogdish,জগদীশ,জগদিশ,জগদীশ
janoganer,জণগণের,জনগণের,জণগণের
jonogoner,জণগণের,জনগণের,জণগণের
janabaler,জনবলের,জানাবলের,জনবলের
janosanjoger,জনসংযোগের,জনস্যাগের,জনসংযোগের
janosonjoger,জনসংযোগের,জনস্যগগের,জনসংযোগের
jonosonjoger,জনসংযোগের,জনস্যগের,জনসংযোগের
jonsonke,জনসনকে,জংশনকে,জনসনকে
jonoshomabesh,জনসমাবেশ,জনসমাসেষ,জনসমাবেশ
jonosomaabesh,জনসমাবেশ,জনশমােষ,জনসমাবেশ
jonosomabesh,জনসমাবেশ,জনসমােশ,জনসমাবেশ
janahitokar,জনহিতকর,জনহিতকার,জনহিতকর
jonoheetokor,জনহিতকর,জনহীতকর,জনহিতকর
jonoiko,জনৈক,জনিক,জনৈক
jab,জব,জাব,জব
zab,জব,জাব,জব
jalaronge,জলরঙে,জলরঙ্গে,জলরঙে
joloronge,জলরঙে,জলরঙ্গে,জলরঙে
jolronge,জলরঙে,জ্যালরঞ্জে,জলরঙে
jalaronger,জলরঙের,জলর্্গের,জলরঙের
jalranger,জলরঙের,জঙ্লেঙ্গের,জলরঙের
joloronge,জলরঙের,জলরঙ্গে,জলরঙের
jolronger,জলরঙের,জলর্ং্গের,জলরঙের
jolaatanko,জলাতংক,জলাটানক,জলাতংক
jolatongko,জলাতংক,জলাঙ্তক,জলাতংক
jack,জাক,যাক,জাক
jak,জাক,যাক,জাক
zack,জাক,যাক,জাক
zaki,জাকী,জাকি,জাকী
jaaker,জাকের,যাকের,জাকের
jaker,জাকের,যাকের,জাকের
jat,জাত,যাত,জাত
jatke,জাতকে,যাতকে,জাতকে
jatoke,জাতকে,যাতকে,জাতকে
jatker,জাতকের,যাতকের,জাতকের
jaatgoolo,জাতগুলো,যাতগুলো,জাতগুলো
jatgoolo,জাতগুলো,যতগুলো,জাতগুলো
jaate,জাতে,যাতে,জাতে
jaanai,জানাই,জানই,জানাই
zaanai,জানাই,জানই,জানাই
japani,জাপানি,জাপানী,জাপানি
jamata,জামাতা,জমতা,জামাতা
jamaatar,জামাতার,জমাতার,জামাতার
jamatar,জামাতার,জমতার,জামাতার
giant,জায়ান্ট,গ্যান্ট,জায়ান্ট
zayanta,জায়ান্ট,জায়ন্ট,জায়ান্ট
jaruler,জারুলের,জরুলের,জারুলের
jilaanee,জিলানী,জিলানি,জিলানী
jeebjontur,জীবজন্তুর,জীবন্তুর,জীবজন্তুর
jeebonjapone,জীবনযাপনে,জীবনবাপনে,জীবনযাপনে
jem,জেম,জ্যাম,জেম
gamesh,জেমস,গমেস,জেমস
gems,জেমস,গেমস,জেমস
jerujaleme,জেরুজালেমে,জেরুজালিমে,জেরুজালেমে
jerusaleme,জেরুজালেমে,জেরুসালামে,জেরুজালেমে
jerujalemer,জেরুসালেমের,জেরুজালিমের,জেরুসালেমের
jainta,জৈন্তা,জৈন্ট,জৈন্তা
jointa,জৈন্তা,জৈন্ট,জৈন্তা
zointa,জৈন্তা,জৈন্ট,জৈন্তা
jaintapore,জৈন্তাপুর,জৈন্তাপরে,জৈন্তাপুর
zokarer,জোকারের,যোকারের,জোকারের
jonaal,জোনাল,জনাল,জোনাল
zonaal,জোনাল,জনাল,জোনাল
jwore,জ্বরে,জোরে,জ্বরে
jackke,জ্যাককে,যাককে,জ্যাককে
jyaki,জ্যাকি,য্যাকাি,জ্যাকি
jeshtho,জ্যেষ্ঠ,জেষ্ঠ,জ্যেষ্ঠ
jyasttho,জ্যেষ্ঠ,জ্যাস্থ,জ্যেষ্ঠ
jhukchen,ঝুঁকছেন,ঝুক্ছেন,ঝুঁকছেন
jhunkchen,ঝুঁকছেন,ঝুঁচক্ছেন,ঝুঁকছেন
takdoi,টকদই,টাকদি,টকদই
tokdoi,টকদই,তকদদই,টকদই
torentotey,টরেন্টোতে,তরেন্ততে,টরেন্টোতে
torontote,টরেন্টোতে,তরন্ততে,টরেন্টোতে
ptalemy,টলেমি,প্লেটিমি,টলেমি
tichar,টিচার,তিচার,টিচার
tichara,টিচার,তিচার,টিচার
twitare,টুইটারে,তিতারে,টুইটারে
tookro,টুকরো,তুক্র,টুকরো
tuji,টুজি,২জি,টুজি
tuzi,টুজি,২জি,টুজি
tur,টুর,তুর,টুর
teexas,টেক্সাস,টেক্স,টেক্সাস
teksas,টেক্সাস,টেকাস,টেক্সাস
tekshaash,টেক্সাস,টেকশাস,টেক্সাস
teksase,টেক্সাসে,টেকাসে,টেক্সাসে
teksuse,টেক্সাসে,টেকাসাসে,টেক্সাসে
tendon,টেন্ডন,টেনদন,টেন্ডন
terroism,টেররিজম,টেরস্য,টেররিজম
tractor,ট্রাক্টর,ট্রাকটটটর,ট্রাক্টর
trap,ট্রাপ,ট্রপ,ট্রাপ
tree,ট্রে,ট্রি,ট্রে
traickbal,ট্র্যাকবল,ট্রাইকবব,ট্র্যাকবল
traickball,ট্র্যাকবল,ট্রাইক্যাবল,ট্র্যাকবল
traicqball,ট্র্যাকবল,ট্রাইক্যাবল,ট্র্যাকবল
treckball,ট্র্যাকবল,ট্রেকবব,ট্র্যাকবল
tthiktthak,ঠিকঠাক,থিক্কাক,ঠিকঠাক
thumri,ঠুমরী,ঠুমরি,ঠুমরী
thhang,ঠ্যাং,থাং,ঠ্যাং
thhyaang,ঠ্যাং,থ্যাং,ঠ্যাং
thhyang,ঠ্যাং,থ্যাং,ঠ্যাং
dac,ডক,ডাক,ডক
dowki,ডাউকি,দৌকী,ডাউকি
daunee,ডাউনি,দাউনী,ডাউনি
douni,ডাউনি,দৌনী,ডাউনি
downy,ডাউনি,ডাউই,ডাউনি
daakota,ডাকোটা,ডাকতা,ডাকোটা
daakotaa,ডাকোটা,ডাকতা,ডাকোটা
dakotaa,ডাকোটা,ডাকতা,ডাকোটা
database,ডাটাবেজ,ডাটাবাসে,ডাটাবেজ
databeis,ডাটাবেজ,ডাটাবেস,ডাটাবেজ
databes,ডাটাবেজ,ডাটাবেস,ডাটাবেজ
daam,ডাম,দাম,ডাম
dam,ডাম,দম,ডাম
damm,ডাম,ডম,ডাম
daamee,ডামি,দামী,ডামি
daami,ডামি,দামি,ডামি
damee,ডামি,দমি,ডামি
damy,ডামি,দমি,ডামি
dummi,ডামি,দুম্মী,ডামি
dumy,ডামি,দুমি,ডামি
dienete,ডিএনএতে,ডিয়েনেট,ডিএনএতে
dienar,ডিএনএর,ডিয়ার,ডিএনএর
diyener,ডিএনএর,ডিয়ের,ডিএনএর
dnaer,ডিএনএর,ড্যানার,ডিএনএর
dnar,ডিএনএর,ড্যানার,ডিএনএর
digreete,ডিগ্রিতে,ডিগ্রেট,ডিগ্রিতে
digrite,ডিগ্রিতে,ডিগ্রীটে,ডিগ্রিতে
digreedhari,ডিগ্রিধারী,দিগ্রেফারী,ডিগ্রিধারী
deengee,ডিঙ্গি,দিঙ্গী,ডিঙ্গি
dingee,ডিঙ্গি,দিঙ্গী,ডিঙ্গি
digit,ডিজিট,দিগিট,ডিজিট
dizita,ডিজিট,দিজিত,ডিজিট
dina,ডিন,দিন,ডিন
diner,ডিনের,দিনের,ডিনের
deembakreetir,ডিম্বাকৃতির,ডিম্বকৃতির,ডিম্বাকৃতির
deembakritir,ডিম্বাকৃতির,ডিম্বকৃতির,ডিম্বাকৃতির
dimbacritir,ডিম্বাকৃতির,ডিম্বাক্তির,ডিম্বাকৃতির
dimbakritir,ডিম্বাকৃতির,দিম্বাকৃতির,ডিম্বাকৃতির
decition,ডিসিশন,ডেশিশন,ডিসিশন
dishishhana,ডিসিশন,দিশিশন,ডিসিশন
dooburi,ডুবুরি,দুবুরি,ডুবুরি
danish,ডেনিশ,ডানিশ,ডেনিশ
denees,ডেনিশ,ডেনেস,ডেনিশ
deneesh,ডেনিশ,ডেনিস,ডেনিশ
denish,ডেনিশ,ডেনিস,ডেনিশ
deenisee,ডেনিস,ডিনিসি,ডেনিস
denees,ডেনিস,ডেনেস,ডেনিস
denishe,ডেনিস,ডেনিসে,ডেনিস
dennis,ডেনিস,ডেন্সিস,ডেনিস
deebit,ডেবিট,দিবিত,ডেবিট
demockratic,ডেমোক্র্যাটিক,ডেমোক্রেটিক,ডেমোক্র্যাটিক
democryatik,ডেমোক্র্যাটিক,ডেমোক্রেটিক,ডেমোক্র্যাটিক
delibharee,ডেলিভারি,দেলিভারী,ডেলিভারি
deleevari,ডেলিভারী,দেলিভারি,ডেলিভারী
delibharee,ডেলিভারী,দেলিভারী,ডেলিভারী
delibhari,ডেলিভারী,দেলিভারী,ডেলিভারী
delivari,ডেলিভারী,ডেলিভারি,ডেলিভারী
deshtrayara,ডেস্ট্রয়ার,দেস্ট্রেয়ার,ডেস্ট্রয়ার
deshtroyer,ডেস্ট্রয়ার,দেশট্রইয়ের,ডেস্ট্রয়ার
destraaer,ডেস্ট্রয়ার,দেস্ট্রের,ডেস্ট্রয়ার
destroaer,ডেস্ট্রয়ার,দেশ্ত্রের,ডেস্ট্রয়ার
donald,ডোনাল্ড,ডোনল্ড,ডোনাল্ড
doonalda,ডোনাল্ড,ডোনল্ড,ডোনাল্ড
daanis,ড্যানিশ,ডানিশ,ড্যানিশ
danish,ড্যানিশ,ডানিশ,ড্যানিশ
damm,ড্যাম,ডম,ড্যাম
drake,ড্রেক,ড্রাকে,ড্রেক
drainage,ড্রেনেজ,ড্রাইনেজ,ড্রেনেজ
drainagee,ড্রেনেজ,ড্রাইনাগী,ড্রেনেজ
drainaje,ড্রেনেজ,ড্রাইনাজ,ড্রেনেজ
dhhaali,ঢালী,ঢালি,ঢালী
dhhaalare,ঢালের,ঢালারে,ঢালের
dhhalare,ঢালের,ঢালারে,ঢালের
touba,তওবা,টৌবা,তওবা
tokhonkar,তখনকার,তকনকাা,তখনকার
torunashthi,তরুণাস্থি,তরুণস্থি,তরুণাস্থি
toruneraa,তরুণেরা,তরুনেরা,তরুণেরা
tarunder,তরুনদের,তারুন্ডের,তরুনদের
toroonder,তরুনদের,তরুন্ডের,তরুনদের
taai,তাই,টাই,তাই
tai,তাই,টাই,তাই
tayi,তাই,টাই,তাই
taaki,তাকি,তাকী,তাকি
taki,তাকি,টাকি,তাকি
tafsire,তাফসীরে,টাসফারে,তাফসীরে
tal,তাল,তল,তাল
tala,তাল,তালা,তাল
